id,age,car,children,current_act,income,married,mortgage,save_act,sex,region,pep
ID12101,48,BAD,1,INCIERTO,17546,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12102,40,GOOD,3,CIERTO,30085.1,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,NO
ID12103,51,GOOD,0,CIERTO,16575.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12104,23,BAD,3,CIERTO,20375.4,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,TOWN,NO
ID12105,57,BAD,0,INCIERTO,50576.3,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,NO
ID12106,57,BAD,2,CIERTO,37869.6,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12107,22,BAD,0,CIERTO,8877.07,NEGATIVO,FALSO,INCORRECTO,MALE,RURAL,YES
ID12108,58,GOOD,0,CIERTO,24946.6,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12109,37,GOOD,2,INCIERTO,25304.3,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,SUBURBAN,NO
ID12110,54,GOOD,2,CIERTO,24212.1,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12111,66,BAD,0,CIERTO,59803.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12112,52,GOOD,0,CIERTO,26658.8,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12113,44,BAD,1,CIERTO,15735.8,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,YES
ID12114,66,GOOD,1,CIERTO,55204.7,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,YES
ID12115,36,BAD,0,CIERTO,19474.6,AFIRMATIVO,VERDADERO,CORRECTO,MALE,RURAL,NO
ID12116,38,GOOD,0,CIERTO,22342.1,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12117,37,BAD,2,INCIERTO,17729.8,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,TOWN,NO
ID12118,46,BAD,0,INCIERTO,41016,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,SUBURBAN,NO
ID12119,62,BAD,0,INCIERTO,26909.2,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12120,31,GOOD,0,CIERTO,22522.8,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12121,61,BAD,2,INCIERTO,57880.7,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12122,50,GOOD,2,CIERTO,16497.3,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12123,54,BAD,0,CIERTO,38446.6,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12124,27,GOOD,0,CIERTO,15538.8,NEGATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12125,22,GOOD,2,CIERTO,12640.3,NEGATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12126,56,GOOD,0,CIERTO,41034,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
ID12127,45,BAD,0,CIERTO,20809.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
ID12128,39,BAD,1,CIERTO,20114,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,TOWN,YES
ID12129,39,GOOD,3,CIERTO,29359.1,NEGATIVO,VERDADERO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12130,61,BAD,1,CIERTO,24270.1,AFIRMATIVO,FALSO,INCORRECTO,MALE,RURAL,YES
ID12131,61,BAD,2,CIERTO,22942.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,NO
ID12132,20,BAD,2,INCIERTO,16325.8,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12133,45,GOOD,1,CIERTO,23443.2,AFIRMATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
ID12134,33,GOOD,3,INCIERTO,29921.3,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12135,43,BAD,0,CIERTO,37521.9,NEGATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
ID12136,27,BAD,2,CIERTO,19868,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12137,19,GOOD,3,CIERTO,10953,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,NO
ID12138,36,GOOD,0,CIERTO,13381,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12139,43,GOOD,0,CIERTO,18504.3,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12140,66,BAD,2,CIERTO,25391.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,SUBURBAN,NO
ID12141,55,BAD,0,CIERTO,26774.2,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,YES
ID12142,47,GOOD,0,CIERTO,26952.6,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12143,67,GOOD,2,INCIERTO,55716.5,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,YES
ID12144,32,GOOD,0,CIERTO,27571.5,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,TOWN,NO
ID12145,20,GOOD,2,CIERTO,13740,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
ID12146,64,BAD,2,CIERTO,52670.6,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12147,50,GOOD,1,CIERTO,13283.9,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12148,29,BAD,2,CIERTO,13106.6,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12149,52,GOOD,2,CIERTO,39547.8,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12150,47,GOOD,2,INCIERTO,17867.3,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,RURAL,NO
ID12151,24,GOOD,2,INCIERTO,14309.7,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12152,36,BAD,0,INCIERTO,23894.8,AFIRMATIVO,FALSO,INCORRECTO,MALE,TOWN,NO
ID12153,43,BAD,1,CIERTO,16259.7,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,YES
ID12154,48,BAD,1,CIERTO,29794.1,NEGATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
ID12155,63,BAD,0,CIERTO,56842.5,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12156,52,BAD,3,INCIERTO,47835.8,NEGATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12157,58,BAD,0,CIERTO,24977.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12158,28,BAD,0,CIERTO,23124.9,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12159,29,BAD,0,CIERTO,15143.8,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12160,34,GOOD,1,CIERTO,25334.3,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12161,42,BAD,1,CIERTO,24763.3,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,YES
ID12162,65,GOOD,1,CIERTO,36589,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12163,47,BAD,2,CIERTO,27022.6,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12164,20,BAD,0,INCIERTO,11700.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12165,21,GOOD,0,CIERTO,5014.21,NEGATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12166,42,BAD,0,CIERTO,17390.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12167,19,BAD,2,CIERTO,10861,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12168,41,BAD,0,CIERTO,34892.9,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12169,30,BAD,2,CIERTO,19403.1,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12170,31,BAD,2,CIERTO,10441.9,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12171,25,GOOD,3,CIERTO,14064.9,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12172,21,BAD,0,CIERTO,8062.73,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12173,36,GOOD,3,CIERTO,31982,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12174,58,BAD,2,INCIERTO,23197.5,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12175,64,GOOD,2,CIERTO,52674,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12176,59,GOOD,2,INCIERTO,35610.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12177,45,BAD,0,CIERTO,26948,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12178,61,GOOD,1,CIERTO,49456.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12179,30,GOOD,0,CIERTO,14724.5,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12180,58,GOOD,2,INCIERTO,34524.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12181,50,BAD,3,CIERTO,22052.1,NEGATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12182,30,BAD,3,CIERTO,27808.1,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12183,29,BAD,1,CIERTO,12591.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12184,35,BAD,1,CIERTO,16394.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12185,62,BAD,0,CIERTO,24026.1,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,YES
ID12186,36,GOOD,1,CIERTO,31683.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12187,25,BAD,0,CIERTO,15525,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12188,66,GOOD,0,CIERTO,22562.2,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12189,30,GOOD,0,INCIERTO,15848.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,SUBURBAN,NO
ID12190,54,BAD,2,CIERTO,31095.6,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12191,37,GOOD,1,CIERTO,24814.5,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,YES
ID12192,28,BAD,2,CIERTO,25429.3,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12193,53,BAD,0,CIERTO,34866.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12194,61,GOOD,2,CIERTO,42579.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12195,61,GOOD,0,INCIERTO,41127.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12196,18,BAD,0,CIERTO,9990.11,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12197,22,BAD,1,INCIERTO,7948.62,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12198,34,GOOD,2,CIERTO,30870.8,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,YES
ID12199,35,BAD,2,CIERTO,12125.8,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
